system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
00000000000000000001_0,0.3015,0.0438,0.07915,0.06085,0.3104,0.0145448875,0.6721886,-0.5936337,0.4296413352957371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.21189714760331,9.728799442778623]}"
00000000000000000003_0,0.0415,0.0062,0.0145,0.0087,0.1038,0.42876807,0.84533334,-0.7548605,0.23289795627319926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.27494973198479,10.017697638151462]}"
00000000000000000004_0,0.0456,0.0126,0.019,0.0095,0.1473,0.5272162,0.87882656,-0.7714973,0.3147076833622662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.09385394498814,9.418162017530094]}"
00000000000000000006_0,0.1271,0.02305,0.0453,0.0201,0.3301,0.44400698,0.8852084,-0.75865746,0.5469301354644506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.72464636321503,9.88232152483465]}"
00000000000000000007_0,0.451,0.2554,0.3,0.3024,0.4976,0.04912501,0.244,-0.2477432,0.2252307679822459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.30162969592314,10.006289034043144]}"
00000000000000000009_0,0.169,0.01625,0.0346,0.01825,0.2972,0.27498928,0.8842923,-0.7914406,0.5131215831014234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.12970129910637,10.218111778038526]}"
0000000000000000000b_0,0.084,0.011,0.0226,0.0147,0.1728,0.3457944,0.8432,-0.7686796,0.34494546160816153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.84457145364497,9.67939210215205]}"
0000000000000000000d_0,0.3332,0.0575,0.0791,0.094,0.2306,-0.18197943,0.42082563,-0.4891831,0.2484841194659674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.76651242973685,10.086688251971841]}"
0000000000000000000f_0,0.293,0.0519,0.0927,0.0787,0.4256,0.18452543,0.6878842,-0.64229214,0.5181220704234107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.34771326999847,10.02497399195283]}"
00000000000000000011_0,0.1565,0.0214,0.036,0.0209,0.3012,0.31614596,0.8702266,-0.78647685,0.5114341353020991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.19023860069233,9.942328985813834]}"
00000000000000000012_0,0.0629,0.0205,0.0324,0.0186,0.1434,0.39020842,0.77037036,-0.63139933,0.2827794533346375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.65673372773558,10.480150346416192]}"
00000000000000000014_0,0.1417,0.0233,0.03965,0.0211,0.2872,0.33923993,0.8631203,-0.7573811,0.49381418382959474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.91985484873605,10.429844690505497]}"
00000000000000000015_0,0.1795,0.0211,0.04265,0.02325,0.2786,0.21632832,0.84594995,-0.7344747,0.47767663075150335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.68063806285687,10.337677542354836]}"
00000000000000000016_0,0.5053,0.4588,0.4644,0.4568,0.612,0.09549808,0.14520955,-0.13712375,0.14839365235609983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.43296339046141,9.345398479516412]}"
00000000000000000018_0,0.1537,0.024,0.0446,0.0225,0.3176,0.34776154,0.867686,-0.75372726,0.5269015708787574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.22221862480697,9.958229166342749]}"
00000000000000000019_0,0.1368,0.0213,0.0431,0.0271,0.2963,0.3682752,0.8324057,-0.7460224,0.49040562652214525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.38418487053373,9.663941079265195]}"
0000000000000000001a_0,0.1655,0.0183,0.03515,0.01755,0.3087,0.30198228,0.8924138,-0.7955504,0.5285627758499986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.72411652260826,10.083274653892186]}"
0000000000000000001b_0,0.15845,0.0806,0.09165,0.0699,0.3088,0.32177636,0.6308424,-0.54226494,0.40781838582982516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.09825111559849,8.57176935683268]}"
0000000000000000001c_0,0.3585,0.1909,0.21455,0.1959,0.4822,0.14713928,0.4222091,-0.38414064,0.3645276368541578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.84268956583018,10.291773631336328]}"
0000000000000000001d_0,0.16935,0.0175,0.0402,0.0269,0.252,0.19615524,0.80709934,-0.724846,0.43349595922465334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.38608048119409,10.316477301649615]}"
0000000000000000001e_0,0.1899,0.1518,0.1482,0.1188,0.3261,0.26395348,0.4659474,-0.37507904,0.32908243366921264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.28510069469534,9.742274172040416]}"
00000000000000000020_0,0.2132,0.0258,0.0525,0.0278,0.3492,0.24182078,0.8525199,-0.7386109,0.5497149499859075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.45416363116664,9.150284399805653]}"
00000000000000000021_0,0.2471,0.0585,0.0982,0.0741,0.3432,0.16279858,0.6448598,-0.5550521,0.44004141817793185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.22375490935369,11.024349745535797]}"
00000000000000000022_0,0.14425,0.017,0.0395,0.02025,0.2792,0.31869167,0.86475205,-0.75211793,0.4858652665669969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.18700923995134,9.796442583672823]}"
00000000000000000023_0,0.5928,0.932,0.9512,0.9608,0.9232,0.21794194,-0.019957528,0.014938111,-0.023657706026742137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.09790093804854,10.770306183186797]}"
00000000000000000024_0,0.1598,0.01765,0.03395,0.0174,0.2298,0.17967148,0.8592233,-0.74255925,0.4263918634554671,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.72303854426731,10.052462439646888]}"
00000000000000000025_0,0.5765,0.9696,0.936,0.892,0.8592,0.19690743,-0.018730024,0.042780742,-0.021855022982022576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.27837247862814,10.7943810328012]}"
00000000000000000026_0,0.1446,0.01935,0.04265,0.01975,0.3638,0.43115655,0.89701474,-0.7901341,0.584092567749789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.00841958718652,8.66842808140394]}"
00000000000000000027_0,0.1369,0.02995,0.0486,0.0236,0.3302,0.41383,0.8665913,-0.7434002,0.5386507207775809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.92021417484969,10.534588252633835]}"
00000000000000000028_0,0.2389,0.3846,0.3712,0.3535,0.40055,0.25279537,0.062396392,-0.038030468,0.05627765873167516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.19068775833438,8.813505999789243]}"
00000000000000000029_0,0.1316,0.0169,0.0486,0.022,0.4465,0.5447154,0.9060832,-0.803676,0.6574599928440578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.50186417275339,9.630254256110712]}"
0000000000000000002a_0,0.20165,0.0445,0.07155,0.0548,0.32135,0.22887193,0.70862687,-0.6357852,0.4563431016695725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.10400033341685,8.853660692989386]}"
0000000000000000002b_0,0.1815,0.0161,0.04485,0.022,0.35625,0.32496512,0.8836748,-0.776365,0.5708795777636089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.8533703691475,8.879352510115204]}"
0000000000000000002e_0,0.23805,0.04555,0.07175,0.04675,0.3447,0.18301159,0.76114446,-0.65542084,0.5013461275431234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.21926333293308,10.749465268595223]}"
0000000000000000002f_0,0.1591,0.01975,0.0366,0.03725,0.1807,0.06356683,0.6581785,-0.6631385,0.29970750491286113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.60392193759306,10.428676880636143]}"
00000000000000000030_0,0.1089,0.0231,0.03785,0.0223,0.21895,0.33567178,0.8151295,-0.7052181,0.3979426710617805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.06511243017817,10.472514666501176]}"
00000000000000000031_0,0.0111,0.0409,0.0551,0.0527,0.0347,0.5152838,-0.2059497,0.22717153,-0.04596527817622269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.60777554475108,8.930825975895253]}"
00000000000000000032_0,0.1568,0.0214,0.0393,0.023,0.3134,0.33304977,0.863258,-0.7771477,0.5208034436113165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.61937296047992,10.854747819894031]}"
00000000000000000033_0,0.29985,0.28965,0.28965,0.2774,0.36315,0.09547514,0.13386935,-0.11259192,0.11277455770314201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.0165044247436,8.812877179090359]}"
00000000000000000034_0,0.1629,0.0228,0.041,0.0251,0.3292,0.33793944,0.8583122,-0.7784981,0.5339459196689964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.45668806252587,10.774079107380098]}"
00000000000000000035_0,0.3086,0.3588,0.3466,0.3266,0.4548,0.19151166,0.16406453,-0.13501374,0.15007026477807608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.58873126072774,10.41151905870946]}"
00000000000000000037_0,0.7316,1.1144,1.0656,1.0168,1.036,0.17221092,0.009353062,0.014084518,0.011281710438456969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.5238728972143,9.332103413311444]}"
00000000000000000039_0,0.2453,0.0793,0.1102,0.1382,0.2642,0.037095204,0.3131213,-0.41132477,0.20944149229316533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.34259744716084,9.527127661493791]}"
0000000000000000003a_0,0.2789,0.04035,0.0669,0.07355,0.2533,-0.04810219,0.5499465,-0.58213615,0.32608697062560094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.11074684661145,10.264644509755918]}"
0000000000000000003d_0,0.5895,0.7624,0.7272,0.7012,0.7168,0.09745079,0.011001387,0.0072022146,0.012200182108040412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.49189287309966,9.348003593840359]}"
0000000000000000003e_0,0.1385,0.0144,0.0343,0.0196,0.3111,0.3838968,0.8814636,-0.8013897,0.5263633146401374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.0041122481046,9.6917888530729]}"
0000000000000000003f_0,0.17455,0.0191,0.0395,0.0221,0.2957,0.25762895,0.8609188,-0.76431984,0.5018342066412619,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.78592061415567,10.405680009362683]}"
00000000000000000041_0,0.615,0.5692,0.5944,0.586,0.6652,0.03921261,0.06329921,-0.056208327,0.06783916929805354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.32552488248072,9.245415988393908]}"
00000000000000000042_0,0.1017,0.03785,0.05015,0.0377,0.20705,0.34121457,0.69193053,-0.6100311,0.3410876036969386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.36514058651039,9.876392643959461]}"
00000000000000000044_0,0.2519,0.0282,0.0549,0.0383,0.4428,0.27479488,0.8407815,-0.77938515,0.618438474018095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.67613733787258,9.222329285592037]}"
00000000000000000045_0,0.15865,0.02485,0.04285,0.031,0.1892,0.087825224,0.7184378,-0.63068306,0.32949180745194095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.0292696503418,10.309021284791422]}"
